"target_language","Gemma4","Google Translate","Qwen35"
"am",0.381527600099442,0.307942758010591,0.274412389425592
"es",0.690963199414687,0.597258887916964,0.659521594804351
"fa",0.536380087377475,0.454415651627412,0.523337973218435
"ja",0.444106515943107,0.458314144126839,0.393275346561989
"km",0.523991139226988,0.554029498881608,0.426595120740715
"ko",0.491778204658124,0.363209405425299,0.415601523240249
"lo",0.494466960281363,0.506039698485566,0.350964182131797
"om",0.285164367473161,0.369431368730175,0.281319622841255
"pa",0.53732304940417,0.463046868338953,0.400259387572432
"ru",0.5456524639601,0.463283365475778,0.533545937217508
"so",0.43381221053208,0.385764378471573,0.357950673503184
"th",0.547087233277804,0.562118985991967,0.490366090036834
"tl",0.623279337594709,0.567942978844455,0.518287341439141
"uk",0.579037697436965,0.549777421182408,0.535851352784328
"vi",0.580424465680734,0.431863465443694,0.570222690293775
"zh",0.478729412793137,NA,0.41031789304347
"hi",NA,0.373749243471131,NA
"zh-Hans",NA,0.448238196603754,NA
"zh-Hant",NA,0.453871069869478,NA
