"target_language","metric","score"
"am","bleu",0.121359985584519
"am","chrf",27.6115616811985
"am","chrf..",25.2241976587836
"am","comet",0.814910596985645
"am","sacrebleu",0.109905482162975
"es","bleu",0.472331679711273
"es","chrf",67.0443028672967
"es","chrf..",65.2726141643749
"es","comet",0.903487150019735
"es","sacrebleu",0.306514525196946
"fa","bleu",0.286250073247589
"fa","chrf",50.2273085234095
"fa","chrf..",48.8119133730118
"fa","comet",0.888121188503896
"fa","sacrebleu",0.231180539074922
"hi","bleu",0.281909081955576
"hi","chrf",42.492893476813
"hi","chrf..",41.4409713689687
"hi","comet",0.757234692573547
"hi","sacrebleu",0.251565419839192
"ja","bleu",0.326684282865485
"ja","chrf",35.6709137206208
"ja","chrf..",29.11376073444
"ja","comet",0.896550316061522
"ja","sacrebleu",0.0156536406131661
"km","bleu",0.232031539562728
"km","chrf",55.9163680949512
"km","chrf..",45.827412546027
"km","comet",0.858934824121498
"km","sacrebleu",0.0912375990901902
"ko","bleu",0.225179875493257
"ko","chrf",37.3465096062908
"ko","chrf..",36.9327881964466
"ko","comet",0.905156266543313
"ko","sacrebleu",0.16656547517191
"lo","bleu",0.228516380066259
"lo","chrf",45.7469513106844
"lo","chrf..",41.0264014904259
"lo","comet",0.816721209392754
"lo","sacrebleu",0.131502013923671
"om","bleu",0.0988471694147927
"om","chrf",30.4819760918392
"om","chrf..",26.9262062559752
"om","comet",0.703152807164479
"om","sacrebleu",0.110463023614651
"pa","bleu",0.268860382981169
"pa","chrf",45.7191075085209
"pa","chrf..",44.2661271854088
"pa","comet",0.824346353789141
"pa","sacrebleu",0.267542671575
"ru","bleu",0.287586837514249
"ru","chrf",52.3487296255158
"ru","chrf..",49.6120097030141
"ru","comet",0.891655418065269
"ru","sacrebleu",0.194348494295857
"so","bleu",0.146422900586027
"so","chrf",41.8798644731688
"so","chrf..",38.3151293558288
"so","comet",0.752089174022542
"so","sacrebleu",0.146268428629294
"th","bleu",0.278240326630733
"th","chrf",57.2897219796173
"th","chrf..",48.7187859738692
"th","comet",0.89844617908813
"th","sacrebleu",0.0646655464375092
"tl","bleu",0.362800126555736
"tl","chrf",59.2533136477855
"tl","chrf..",57.5102421430448
"tl","comet",0.844934310876692
"tl","sacrebleu",0.351545564997158
"uk","bleu",0.33534070140143
"uk","chrf",55.9787698932585
"uk","chrf..",53.398323636582
"uk","comet",0.903931605336336
"uk","sacrebleu",0.261210461002437
"vi","bleu",0.363088117663473
"vi","chrf",51.2901602981238
"vi","chrf..",51.4793691849196
"vi","comet",0.870189996711228
"vi","sacrebleu",0.280996774639722
"zh","bleu",0.219113659236389
"zh","chrf",35.9059071090928
"zh","chrf..",30.8678053810636
"zh","comet",0.89124382753526
"zh-Hans","bleu",0.682128664355874
"zh-Hans","chrf",35.1451246996419
"zh-Hans","chrf..",31.113467845897
"zh-Hans","comet",0.887299830504674
"zh-Hans","sacrebleu",0.0322877530075251
"zh-Hant","bleu",0.696091712642849
"zh-Hant","chrf",35.4419152416568
"zh-Hant","chrf..",31.1102344549018
"zh-Hant","comet",0.898930502893664
"zh-Hant","sacrebleu",0.0274269788670813
