src,tgt,1:1,1:n,n:1,n:m
eng,am,337.0,0.0,122.0,6.0
eng,en,367.0,0.0,0.0,132.0
eng,es,278.0,57.0,1.0,127.0
eng,fa,347.0,3.0,0.0,128.0
eng,hi,1.0,0.0,0.0,2.0
eng,ja,367.0,0.0,128.0,4.0
eng,km,335.0,0.0,123.0,5.0
eng,ko,333.0,4.0,1.0,127.0
eng,lo,337.0,0.0,4.0,124.0
eng,om,335.0,2.0,2.0,126.0
eng,pa,334.0,2.0,6.0,122.0
eng,ru,333.0,4.0,0.0,128.0
eng,so,338.0,4.0,13.0,119.0
eng,th,336.0,0.0,125.0,3.0
eng,tl,332.0,2.0,2.0,125.0
eng,uk,332.0,2.0,2.0,126.0
eng,vi,344.0,3.0,4.0,128.0
eng,zh,337.0,0.0,125.0,3.0
