language,docs,as_source_count,as_target_count,sentences,tokens,chars,avg_sentence_tokens,avg_sentence_chars,vocab_size
ja,499,0,499,504,18589,18974,36.88,37.65,792
ko,465,0,465,657,16413,20700,24.98,31.51,536
km,463,0,463,470,14852,40311,31.6,85.77,764
pa,464,0,464,655,13235,39787,20.21,60.74,465
zh,465,0,465,468,12515,12897,26.74,27.56,903
vi,479,0,479,664,9125,40791,13.74,61.43,880
fa,478,0,478,664,8394,41690,12.64,62.79,1064
tl,461,0,461,646,8138,50120,12.6,77.59,1008
lo,465,0,465,639,8002,35879,12.52,56.15,1433
th,464,0,464,467,7433,35949,15.92,76.98,1577
es,463,0,463,706,7251,44633,10.27,63.22,1142
so,474,0,474,647,6679,43475,10.32,67.19,1206
en,499,0,499,683,6598,39065,9.66,57.2,991
eng,499,499,0,683,6598,39065,9.66,57.2,991
ru,465,0,465,672,6518,47591,9.7,70.82,1439
om,465,0,465,650,6505,46322,10.01,71.26,1297
uk,462,0,462,650,5955,42623,9.16,65.57,1373
am,465,0,465,472,5861,31205,12.42,66.11,1437
hi,3,0,3,8,187,554,23.38,69.25,73
