language,docs,as_source_count,as_target_count,sentences,tokens,chars,avg_sentence_tokens,avg_sentence_chars,vocab_size
ja,1214,0,1214,1279,33341,33530,26.07,26.22,1045
ko,1215,0,1215,1373,29579,37218,21.54,27.11,733
my,1209,0,1209,1291,29359,90475,22.74,70.08,524
km,1214,0,1214,1283,28330,75481,22.08,58.83,1385
te,1216,0,1216,1381,28072,74766,20.33,54.14,826
ne,1214,0,1214,1372,27980,74712,20.39,54.45,914
hi,1216,0,1216,1373,25394,73563,18.5,53.58,714
kar,1214,0,1214,1370,25375,88245,18.52,64.41,380
zh,1216,0,1216,1275,21899,22423,17.18,17.59,1289
lo,1215,0,1215,1375,21542,74952,15.67,54.51,2377
vi,1215,0,1215,1379,17106,73986,12.4,53.65,1401
chk,1214,0,1214,1377,16497,97315,11.98,70.67,2377
fr,1214,0,1214,1369,15721,90455,11.48,66.07,2294
tl,1216,0,1216,1379,14798,87857,10.73,63.71,2044
fa,1215,0,1215,1377,14416,70500,10.47,51.2,1935
es,1215,0,1215,1384,13748,82850,9.93,59.86,2219
so,1214,0,1214,1376,13659,85867,9.93,62.4,2644
mh,1111,0,1111,1242,13587,70354,10.94,56.65,1437
ium,749,0,749,794,13471,65316,16.97,82.26,1153
ro,1215,0,1215,1430,13454,83179,9.41,58.17,2448
th,1215,0,1215,1304,13186,63583,10.11,48.76,3856
sw,1214,0,1214,1376,12283,75017,8.93,54.52,2100
ar,1214,0,1214,1375,11786,67828,8.57,49.33,3339
en,1216,0,1216,1377,11555,64781,8.39,47.05,1658
eng,1216,1216,0,1377,11555,64795,8.39,47.06,1658
ru,1215,0,1215,1391,11340,82372,8.15,59.22,3326
uk,1215,0,1215,1377,10990,78457,7.98,56.98,3142
am,1209,0,1209,1297,9852,48932,7.6,37.73,3011
om,748,0,748,794,9435,55595,11.88,70.02,2127
hmn,749,0,749,794,8781,49590,11.06,62.46,2027
sr,471,0,471,499,5224,27483,10.47,55.08,1451
ps,471,0,471,498,5143,29697,10.33,59.63,1494
rhg,471,0,471,496,4589,29025,9.25,58.52,1367
